What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,c_Car Parking,c_24hr Water Supply,c_Maintenance Staff,c_Gas Pipeline,c_Lift,c_Club house,c_24Hr Security,c_Gym,c_School,c_College,c_Hospitals,c_Medical,c_Railway Station,c_Market,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,n_Car Parking,n_24hr Water Supply,n_Maintenance Staff,n_Gas Pipeline,n_Lift,n_Club house,n_24Hr Security,n_Gym,n_School,n_College,n_Hospitals,n_Medical,n_Railway Station,n_Market
25 - 35,Male,Virar,5lakh - 7lakh,Yes,Building,580,2 BHK,4500000,"Lift, Club house","Lift, Club house","Lift, Club house","Lift, Club house","Lift, Club house","Lift, Club house","Lift, Club house","Lift, Club house","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market","School, Hospitals, Medical, Railway Station, Market",No,Yes,Mira Road,Building,50lakh - 60lakh,600,3 BHK,Resale House,"24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","24hr Water Supply, Maintenance Staff, Lift, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Female,Virar,3lakh - 5lakh,Yes,Building,386,1 BHK,2850000,"Lift, 24Hr Security","Lift, 24Hr Security","Lift, 24Hr Security","Lift, 24Hr Security","Lift, 24Hr Security","Lift, 24Hr Security","Lift, 24Hr Security","Lift, 24Hr Security",School,School,School,School,School,School,Yes,No,Borivali,Building,20lakh - 30lakh,450,2 BHK,New House,"24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Female,Virar,3lakh - 5lakh,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Malad,Building,50lakh - 60lakh,400,1 BHK,Resale House,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Malad,5lakh - 7lakh,Yes,Building,600,1 BHK,9300000,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,"Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market",Yes,Yes,Bandra,Building,1Cr - 2Cr,600,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Malad,7lakh - 9lakh,Yes,Building,700,1 BHK,7800000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Santacruz,Building,90lakh- 1Cr,550,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Grant Road,7lakh - 9lakh,Yes,Building,850,2 BHK,37500000,"Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market","College, Hospitals, Medical, Railway Station, Market",No,Yes,Marine Lines,Building,2Cr - 3Cr,900,3 BHK,Resale House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Grant Road,9lakh - 11lakh,Yes,Building,625,1 BHK,18500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,2Cr - 3Cr,750,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Grant Road,9lakh - 11lakh,Yes,Building,550,2 BHK,12500000,"Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Car Parking, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,No,Borivali,Building,2Cr - 3Cr,600,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Female,Grant Road,9lakh - 11lakh,Yes,Building,574,1 BHK,17800000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Borivali,Bungalow,2Cr - 3Cr,2500,3 BHK,Resale House,"24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Grant Road,11lakh and above,Yes,Building,1400,2 BHK,35000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,Yes,Kandivali,Row House,1Cr - 2Cr,1500,3 BHK,Resale House,"24hr Water Supply, Lift","24hr Water Supply, Lift","24hr Water Supply, Lift","24hr Water Supply, Lift","24hr Water Supply, Lift","24hr Water Supply, Lift","24hr Water Supply, Lift","24hr Water Supply, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Dadar,9lakh - 11lakh,Yes,Building,440,1 BHK,18000000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Borivali,Row House,1Cr - 2Cr,1000,3 BHK,New House,Gas Pipeline,Gas Pipeline,Gas Pipeline,Gas Pipeline,Gas Pipeline,Gas Pipeline,Gas Pipeline,Gas Pipeline,"Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Dadar,11lakh and above,Yes,Building,1570,3 BHK,75500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Kandivali,Row House,1Cr - 2Cr,2000,4 BHK,Resale House,"24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Dadar,9lakh - 11lakh,Yes,Building,1750,2 BHK,37500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Borivali,Bungalow,1Cr - 2Cr,1500,4 BHK,Resale House,"Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Female,Dadar,11lakh and above,Yes,Building,1570,3 BHK,75800000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Borivali,Row House,2Cr - 3Cr,2000,4 BHK,New House,"Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Dadar,11lakh and above,Yes,Building,1980,4 BHK,92500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,1Cr - 2Cr,450,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Lower Parel,9lakh - 11lakh,Yes,Building,1360,3 BHK,62000000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Borivali,Bungalow,2Cr - 3Cr,2500,4 BHK,New House,"24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","24hr Water Supply, Gas Pipeline","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Lower Parel,7lakh - 9lakh,Yes,Building,668,2 BHK,27700000,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Dadar,Building,2Cr - 3Cr,800,3 BHK,Resale House,"Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Car Parking, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
